system,metric,folded_reference,reference_codlad,restrained_cg_codlad,pipeline_delta,cg_associated_delta,total_delta
Gal3,CA RMSD to ref (A),1.2284614743665052e-14,5.842457035462112e-15,28.11663571831973,-6.44215770820294e-15,28.116635718319724,28.11663571831972
Gal3,Helix fraction,0.036,0.020161290322580645,0.0,-0.015838709677419353,-0.020161290322580645,-0.036
Gal3,Sheet fraction,0.324,0.3346774193548387,0.017741935483870968,0.01067741935483868,-0.3169354838709677,-0.306258064516129
Gal3,Cbeta deviation (A),0.10078784124925733,0.10462553151796146,0.2754189628983682,0.003837690268704133,0.17079343138040676,0.17463112164911088
Gal3,Rama favored (%),91.93548387096774,88.21138211382114,76.869918699187,-3.724101757146599,-11.341463414634148,-15.065565171780747
Gal3,Rotamer favored (%),95.76719576719577,80.74866310160428,75.8288770053476,-15.018532665591493,-4.919786096256686,-19.93831876184818
Gal3,Clash count,0.0,0.0,0.0,0.0,0.0,0.0
Gal3,Rg (A),29.200820314305478,29.186198821815886,29.71741572907296,-0.014621492489592214,0.5312169072570754,0.5165954147674832
Gal3,Trans-Pro phi (deg),-74.2794743162213,-81.38279004778181,-78.94793319554323,-7.103315731560514,2.434856852238582,-4.668458879321932
Ubq2,CA RMSD to ref (A),1.658492148164535e-15,1.2082542231673323e-14,13.056333377690297,1.0424050083508788e-14,13.056333377690285,13.056333377690295
Ubq2,Helix fraction,0.22839506172839505,0.21875,0.015625,-0.009645061728395049,-0.203125,-0.21277006172839505
Ubq2,Sheet fraction,0.30864197530864196,0.33125,0.021249999999999998,0.02260802469135803,-0.31,-0.28739197530864197
Ubq2,Cbeta deviation (A),0.09293015322479226,0.0840377080336062,0.2841912075784372,-0.008892445191186052,0.20015349954483097,0.19126105435364493
Ubq2,Rama favored (%),97.5,98.10126582278481,88.48101265822785,0.6012658227848107,-9.620253164556956,-9.018987341772146
Ubq2,Rotamer favored (%),99.3006993006993,92.25352112676056,80.98591549295774,-7.047178173938747,-11.267605633802816,-18.314783807741563
Ubq2,Clash count,0.0,0.0,0.0,0.0,0.0,0.0
Ubq2,Rg (A),25.163431573369497,24.782814661588496,19.984433095394433,-0.38061691178100077,-4.798381566194063,-5.178998477975064
Ubq2,Trans-Pro phi (deg),-63.50529098510742,-65.32666206359863,-53.392429416974394,-1.821371078491211,11.934232646624238,10.112861568133027
