ped_id,frame_idx,rg,dmax,rota_fav,rota_alw,rota_out,rota_tot,cbdev_mean,cbdev_std,clash,dssp_helix,dssp_sheet,dssp_coil,dssp_total,ca_mean_deviation,ca_max_deviation,pro_phi_mean,pro_phi_std,pro_phi_n,rama_general_fav,rama_general_tot,rama_glycine_fav,rama_glycine_tot,rama_pre_proline_fav,rama_pre_proline_tot,rama_trans_proline_fav,rama_trans_proline_tot,rama_cis_proline_fav,rama_cis_proline_tot,rama_ile_val_fav,rama_ile_val_tot,rama_pooled_fav,rama_pooled_tot,bond_CA_C,bond_N_CA,bond_C_N
PED00003,0,25.171516245948105,79.09477233886719,86,16,0,102,0.2345245572730523,0.3026344262329643,277,0,0,132,132,0.0004924119773821,0.0008457279182039,-75.57507312297821,38.882224857516015,8,80,87,6,13,7,7,4,8,0,0,14,15,111,130,1.5299081305662792,1.4385353733192792,1.342626984337814
PED00003,1000,26.010201893463204,86.31625175476074,77,25,0,102,0.3971349101047963,0.5793489564657014,214,0,0,132,132,0.0004885935426996,0.0008284833747893,-92.6181288616998,51.31103610007349,7,84,87,4,13,7,7,2,7,0,1,12,15,109,130,1.529905999248678,1.4385349136410337,1.3436698522276551
PED00003,1008,32.67331676676911,92.3024082183838,83,19,0,102,0.2896057214674015,0.6325564387721992,255,0,0,132,132,0.0004840033379326,0.0007305120234377,-45.52510452270508,85.9221124124395,8,87,87,3,13,7,7,2,8,0,0,14,15,113,130,1.5299062087680355,1.4385333675326724,1.348917380089068
PED00003,1016,43.51230803993591,130.50293922424316,83,19,0,102,0.2036190851074995,0.2091407570502411,219,0,0,132,132,0.0004743950873186,0.0007703799637965,-110.86750888824464,29.011125298866624,8,85,87,6,13,7,7,3,8,0,0,14,15,115,130,1.529907352996595,1.4385350075635044,1.3572806411117089
PED00003,1024,42.52902022465194,136.6166877746582,83,19,0,102,0.2321714831813544,0.3253672791090585,214,0,0,132,132,0.0004846418440579,0.0007305120234377,-41.37384823390416,90.82343013095354,7,83,87,5,13,7,7,3,7,0,1,14,15,112,130,1.5299072708144332,1.4385353715130778,1.3247288843147629
PED00003,1032,34.86253693625492,104.10828590393066,81,21,0,102,0.1898696670003485,0.2502813942613439,197,0,0,132,132,0.000473890480035,0.0007412693812511,-73.39882862567902,58.77232360622104,8,84,87,8,13,7,7,2,8,0,0,15,15,116,130,1.5299072509462184,1.4385345740751787,1.3789448351350448
PED00003,104,38.47970473473909,109.45011138916016,81,21,0,102,0.1979128625713476,0.2261303426360336,230,0,0,132,132,0.0004636559901193,0.000792869948782,-101.53691041469574,45.81634323464188,8,81,87,6,13,7,7,1,8,0,0,12,15,107,130,1.529906639547059,1.4385371912609448,1.339932054053736
PED00003,1040,52.479166715815786,161.0428810119629,87,15,0,102,0.2213672172481648,0.301586202703392,251,0,2,130,132,0.0004743377445596,0.0008120199199765,-59.3428692817688,93.4618750449783,8,85,87,5,13,7,7,4,8,0,0,14,15,115,130,1.5299077521670947,1.438534912737933,1.343717391709335
PED00003,1048,28.635613677106758,82.65071868896484,88,14,0,102,0.1969983639359912,0.2568592905308,251,0,0,132,132,0.0004956469469603,0.0008108721813187,-120.90281867980956,43.07167646034661,8,81,87,6,13,6,7,1,8,0,0,14,15,108,130,1.5299076772097386,1.4385355412960052,1.3628844623347276
PED00003,1056,38.9188365940378,137.1280860900879,85,17,0,102,0.2152514074138608,0.3414218323537715,207,0,0,132,132,0.0004728275995479,0.0007257154793478,-104.44388771057127,26.00520876217081,8,85,87,7,13,7,7,2,8,0,0,15,15,116,130,1.5299065600741992,1.4385350545247395,1.369032771532772
PED00003,1064,57.50213076991447,170.34854888916016,82,20,0,102,0.2040864879171512,0.2515404528196948,217,0,0,132,132,0.0004816929421477,0.00076049414929,-80.41922450065613,29.854278202488175,8,83,87,5,13,6,7,3,8,0,0,13,15,110,130,1.529905859268073,1.4385360822533115,1.3354906244132354
PED00003,1072,21.01120178591724,57.398085594177246,82,20,0,102,0.2269892749267027,0.3077131909197261,249,0,0,132,132,0.0004955202766172,0.0008108721813187,-81.90492129325867,37.92933941093212,8,84,87,4,13,7,7,4,8,0,0,12,15,111,130,1.5299081585624,1.438534994016994,1.3607548684564257
PED00003,1080,33.77608054532721,98.56512069702148,83,19,0,102,0.2448502828899239,0.3422193794364397,237,0,0,132,132,0.0004514746098831,0.0007412693812511,-115.60060167312622,28.736135707081758,8,83,87,6,13,7,7,1,8,0,0,14,15,111,130,1.5299059486750402,1.4385356144471602,1.3703116556160322
PED00003,1088,25.963049216816483,80.76419830322266,85,17,0,102,0.2306901719029836,0.2737408189779892,284,0,0,132,132,0.0004965662782055,0.0008120199199765,-79.29885673522949,34.130624592584454,8,87,87,6,13,7,7,2,8,0,0,14,15,116,130,1.5299075616128517,1.438534919059638,1.358763365800144
PED00003,1096,32.36907968769761,92.94368743896484,81,21,0,102,0.2094895082580692,0.2147914934257409,210,0,0,132,132,0.0004966394608896,0.0007332161767408,-86.79235403878349,41.57815314796815,7,81,87,6,13,7,7,3,7,1,1,14,15,112,130,1.5299080664461309,1.4385365202571407,1.34283209666041
PED00003,1104,30.96895475754337,94.54029083251952,87,15,0,102,0.2556537251191668,0.3240298353035932,274,0,0,132,132,0.0004643771032781,0.00076049414929,-99.01543951034546,46.47218102083217,8,84,87,6,13,7,7,1,8,0,0,13,15,111,130,1.5299063406207345,1.4385344539627885,1.356498056240664
PED00003,1112,37.82612012243647,113.91474723815918,87,15,0,102,0.229416543469146,0.32464001927407,223,0,0,132,132,0.0004742596579903,0.0008029371383599,-75.32790946960449,44.20793425159811,8,83,87,4,13,7,7,3,8,0,0,15,15,112,130,1.5299071750857614,1.4385345885247895,1.3540414253263984
PED00003,112,40.90482631541767,127.82463073730467,90,12,0,102,0.3375901006115209,1.0713179810588556,253,0,0,132,132,0.0004621538154507,0.0008117331308312,-100.49912023544312,27.710383294804284,8,84,87,7,13,7,7,2,8,0,0,13,15,113,130,1.5299074378880588,1.4385352956526207,1.3691486102024109
PED00003,1120,33.601066915093945,108.66272926330566,90,12,0,102,0.195965639526854,0.2613415066829101,234,0,0,132,132,0.0004677356734618,0.0007963859825395,-96.33753108978271,30.687610005281734,8,82,87,5,13,7,7,2,8,0,0,15,15,111,130,1.52990747943069,1.4385357869393898,1.3429177107701775
PED00003,1128,30.65461956829251,101.28053665161131,84,18,0,102,0.2730964215026245,0.5498215064001297,238,0,0,132,132,0.0004757118488421,0.0007589617744088,-96.73941659927368,42.52376620804035,8,85,87,5,13,7,7,2,8,0,0,14,15,113,130,1.529906886996645,1.4385346661914478,1.35450295819581
PED00003,1136,42.35065116484783,138.0764865875244,81,21,0,102,0.2078847823695851,0.2428094720050905,198,0,0,132,132,0.0004727893936598,0.0008284833747893,-80.43934035301208,45.112899489376105,8,82,87,9,13,7,7,3,8,0,0,15,15,116,130,1.5299067948803755,1.4385345307263462,1.3653179921266687
PED00003,1144,43.72125207900233,131.97175979614258,81,21,0,102,0.2458932571731382,0.4629235704645686,261,0,0,132,132,0.000491444490046,0.0007355939014814,-74.83480501174927,49.754078924013456,6,86,87,5,13,7,7,2,6,0,2,14,15,114,130,1.529907667275631,1.4385342597961426,1.3463497512213147
PED00003,1152,25.35522689544052,85.42487144470215,81,21,0,102,0.2255596477741829,0.3157294747644322,235,0,0,132,132,0.0004767481349876,0.00076049414929,-91.18582439422607,34.648534371569426,8,80,87,6,13,7,7,2,8,0,0,15,15,110,130,1.5299070125276393,1.4385361870129902,1.3539572130632764
PED00003,1160,25.8943182601364,72.83749103546143,90,12,0,102,0.2032477080884601,0.2353732084895282,192,0,0,132,132,0.0004695361707986,0.0007514082244597,-71.3235946893692,98.82790122224196,8,82,87,4,13,7,7,1,8,0,0,14,15,108,130,1.529905277671236,1.438536485036214,1.3677290291276596
PED00003,1168,41.27200530790826,138.72259140014648,85,17,0,102,0.2248929619843907,0.3290507697136051,225,0,0,132,132,0.0004892777527526,0.0007940437062643,-105.2779838017055,35.13384669364015,7,84,87,7,13,7,7,1,7,1,1,14,15,114,130,1.5299063857757684,1.438535583741737,1.3406678247087784
PED00003,1176,40.15080961387167,124.52205657958984,90,12,0,102,0.2006125104370988,0.2994359218856703,220,0,0,132,132,0.0004883292145457,0.0007780486484989,-97.0791368484497,27.37565753346557,8,83,87,8,13,7,7,3,8,0,0,15,15,116,130,1.529907394539226,1.43853506807125,1.351299185334271
PED00003,1184,35.46461395020664,103.66171836853027,85,17,0,102,0.2338307345356448,0.3271424146146412,234,0,0,132,132,0.0004741747692826,0.0007234661607071,-55.91858945574079,79.16868946339311,7,84,87,5,13,6,7,3,7,0,1,15,15,113,130,1.5299074306632534,1.4385351710247272,1.337048372694554
PED00003,1192,29.730721404753737,81.76939010620117,88,14,0,102,0.2359094149041764,0.2770866667180502,267,0,0,132,132,0.0004669129988487,0.0007940437062643,16.70353937149048,120.54100012374252,8,82,87,9,13,6,7,4,8,0,0,15,15,116,130,1.5299059306130265,1.438534983179786,1.3355957783815515
PED00003,120,38.28579113606028,103.91524314880373,96,6,0,102,0.2562859689957705,0.5689099220633917,229,0,0,132,132,0.0004755189038956,0.0007292360533028,-93.78390038013458,51.51882160251068,8,84,87,7,13,6,7,2,8,0,0,15,15,114,130,1.5299052948301488,1.4385359368541024,1.365233731178837
PED00003,1200,27.27138408907652,79.30578708648682,86,16,0,102,0.4251233248994881,2.8050373745250177,221,0,0,132,132,0.0004701013602408,0.0007756509585306,-89.43656468391418,38.05255597844943,8,86,87,9,13,7,7,2,8,0,0,14,15,118,130,1.5299073484810917,1.4385352432727814,1.3791976370884262
PED00003,1208,37.14380086434925,111.1856174468994,84,18,0,102,0.1744289127953288,0.2105360888713914,225,0,0,132,132,0.0004848305059457,0.0007847528322599,-105.09540832042694,49.98346475704524,8,84,87,6,13,7,7,3,8,0,0,14,15,114,130,1.5299067623687512,1.4385352206952644,1.3571594111792005
PED00003,1216,35.75577279480757,100.41229248046876,82,20,0,102,0.2077018189157883,0.2843879417577457,230,0,0,132,132,0.000485860485214,0.0007557338103652,-87.2860016141619,51.9064249467048,7,85,87,1,13,6,7,3,7,0,1,14,15,109,130,1.529908218167045,1.4385353128115337,1.3422324079593628
PED00003,1224,24.31901739362864,82.8040885925293,87,15,0,102,0.2568214791944297,0.391338584619793,237,0,0,132,132,0.0004750155453758,0.0007592685287818,-72.55902624130249,47.59077304541863,8,83,87,5,13,7,7,3,8,0,0,15,15,113,130,1.5299051855549668,1.438535013885209,1.342806972165144
PED00003,1232,32.132927743029136,111.98427200317384,82,20,0,102,0.2154897212113465,0.3378258129056699,250,0,0,132,132,0.0004965827997004,0.0008637067512609,-80.96695053577423,42.31477937190813,8,85,87,4,13,6,7,5,8,0,0,13,15,113,130,1.5299073692524072,1.4385357959703966,1.3325406522241257
PED00003,1240,37.31981798318098,123.6814022064209,81,21,0,102,0.2303137679646934,0.3568477789492259,246,0,0,132,132,0.0004758865204966,0.0007963859825395,-55.14375066757202,95.61538657430356,8,84,87,9,13,7,7,2,8,0,0,14,15,116,130,1.5299062430858612,1.4385355602611194,1.3543611546509138
PED00003,1248,38.67909652357999,124.7940158843994,80,22,0,102,0.2295191607500638,0.2754019546382133,219,0,0,132,132,0.0004829980212393,0.0007338509894907,-74.8542387932539,37.12514749495477,8,83,87,2,13,7,7,3,8,0,0,15,15,110,130,1.5299062656633782,1.4385350671681492,1.336264789559459
PED00003,1256,35.23617315923214,110.5703353881836,79,23,0,102,0.2328217193961707,0.2911020944449147,219,0,0,132,132,0.0004772909905472,0.0008046751026995,-100.41107511520386,33.03588637409898,8,85,87,10,13,7,7,4,8,0,0,14,15,120,130,1.5299078478957668,1.438534472024802,1.3512439213636267
PED00003,1264,47.65747809215466,134.95604515075684,82,20,0,102,0.2561449142243369,0.3937933649419438,213,0,0,132,132,0.0004960383589742,0.0007940437062643,-72.6211256980896,41.772442415174034,8,85,87,4,13,7,7,4,8,0,0,15,15,115,130,1.52990582856265,1.4385358637029475,1.3401954970287002
PED00003,1272,24.341454783865125,64.3956470489502,90,12,0,102,0.2508490236100404,0.4724549105877478,240,0,0,132,132,0.0005010712228051,0.0007756509585306,-99.2619333267212,22.84101626328092,8,86,87,7,13,7,7,2,8,0,0,15,15,117,130,1.5299071443803385,1.4385359765905323,1.3557749363302274
PED00003,128,34.87429778758396,100.70563316345216,84,18,0,102,0.2447458182289382,0.3809962666840397,199,0,0,132,132,0.0004866998833401,0.000792869948782,-86.99009799957275,63.7381571303874,8,83,87,7,13,6,7,2,8,0,0,14,15,112,130,1.5299072951981516,1.4385357417843558,1.3661313489193223
PED00003,1280,29.80285493843157,85.57395935058594,90,12,0,102,0.2390255507026963,0.3661126903523554,225,0,0,132,132,0.0004841267103377,0.0007332161767408,-87.39712452888489,47.96191580831529,8,82,87,7,13,6,7,1,8,0,0,15,15,111,130,1.5299073240973733,1.4385364751021068,1.3403928980572533
