category,PED_ref,PED_CODLAD,CG_CODLAD
general,96.82851471561777,95.49024302767688,95.40630574803143
glycine,79.19976173331648,62.833320308843646,45.37039617532673
pre_proline,96.73546842203244,94.77219740918413,95.96317676767677
trans_proline,80.5053060094884,78.30774571606183,37.81610133473412
cis_proline,65.21769582061017,39.24284396917455,23.44434496017827
ile_val,94.55470365860991,94.80018160989142,95.17195091504617
