residue_class,n_ped_ref,n_ped_codlad,n_cg_codlad,JS_pipeline_base2,JS_total_base2,JS_direct_cg_vs_pedcodlad_base2,JS_increment_total_minus_pipeline_base2,JS_pipeline_ln,JS_total_ln,JS_direct_cg_vs_pedcodlad_ln,JS_increment_total_minus_pipeline_ln
Pooled,509921,509921,1440000,0.07487248318531178,0.23272068091738596,0.1428343318138682,0.15784819773207417,0.051897650621420766,0.16130968383587677,0.09900521438394645,0.109412033214456
General,337863,337863,987500,0.07488218876912765,0.23043351204751966,0.17198544924687068,0.155551323278392,0.051904378019478434,0.15972433918226442,0.11921122924280399,0.10781996116278598
Glycine,87949,87949,207000,0.21213324048595672,0.4462641785740607,0.1551929612415992,0.23413093808810398,0.1470395575458857,0.3093267571635101,0.10757156352736331,0.1622871996176244
Pre-Pro,27159,27159,72500,0.10770121187245381,0.31161864422512237,0.23282249275417827,0.20391743235266857,0.07465279135228066,0.21599758465455624,0.16138025442349696,0.14134479330227556
Trans-Pro,28722,29400,82918,0.06714654403548297,0.36439364979957023,0.2844945041713978,0.29724710576408725,0.046542437682539226,0.2525784309725202,0.19719656345120393,0.20603599328998096
Cis-Pro,2118,1440,2082,0.28540348731940374,0.6395050704858857,0.4627747125063455,0.35410158316648194,0.19782662255742076,0.44327113656108075,0.3207709872082127,0.24544451400366
Ile/Val,26110,26110,88000,0.07493461049233448,0.18615396431124426,0.1279512634353058,0.11121935381890978,0.05194071398911935,0.12903209551239564,0.08868905749926505,0.0770913815232763
