metric,key,PED_ref,PED_CODLAD,CG_CODLAD,total_delta,pipeline_delta,CG_delta
Rg (A),rg,30.48278906780632,30.509132539568828,29.914721200436247,-0.5680678673700719,0.02634347176250884,-0.5944113391325807
Rama favored (%),rama,93.93019796261004,90.71850164002221,86.40399716948066,-7.526200793129377,-3.2116963225878266,-4.31450447054155
Rota favored (%),rota,97.42286676842383,84.09229053030798,82.78044416258888,-14.642422605834952,-13.330576238115853,-1.3118463677190988
Cbdev (A),cbdev,0.1121752898110929,0.10870064097111025,0.22828941368901018,0.11611412387791728,-0.0034746488399826497,0.11958877271789993
Clash,clash,233.77197109886777,257.29762530137134,0.0,-233.77197109886777,23.525654202503574,-257.29762530137134
Helix fraction,helix,0.03162697172949222,0.02871993594093337,0.0003250350800031053,-0.03130193664948912,-0.002907035788558849,-0.028394900860930265
Pro phi mean (deg),pro_phi,-67.34664729965534,-66.2496300999934,-82.74118669671125,-15.394539397055908,1.0970171996619484,-16.491556596717857
