residue_class,n_ped_ref,n_ped_codlad,n_cg_codlad,JS_pipeline,JS_total,JS_cg,JS_self_check,CG_attributable_JS
General,337863,337863,987500,0.05190437801947843,0.15972433918226442,0.11921122924280395,0.0,0.107819961162786
Glycine,87949,87949,207000,0.14703955754588569,0.3093267571635101,0.10757156352736333,0.0,0.16228719961762442
Ile/Val,26110,26110,88000,0.05194071398911934,0.1290320955123956,0.08868905749926505,0.0,0.07709138152327627
Pre-Pro,27159,27159,72500,0.07465279135228066,0.2159975846545562,0.16138025442349696,0.0,0.14134479330227556
Trans-Pro,28722,29400,82918,0.04654243768253923,0.2525784309725202,0.1971965634512039,0.0,0.20603599328998096
Cis-Pro,2118,1440,2082,0.19782662255742078,0.44327113656108075,0.32077098720821257,0.0,0.24544451400365996
Pooled,509921,509921,1440000,0.05189765062142075,0.16130968383587668,0.09900521438394641,0.0,0.10941203321445593
