ped_id,bond_type,mean,std
PED00003,CA_C,1.5299068143927688,7.673665234382296e-07
PED00003,N_CA,1.4385352638977946,7.069647515458311e-07
PED00003,C_N,1.3517443080476224,0.011999755818019884
PED00006,CA_C,1.5299046457564083,7.495059304587335e-07
PED00006,N_CA,1.4386174548572594,7.091685893752052e-07
PED00006,C_N,1.3511753750963948,0.011535672895857836
PED00016,CA_C,1.5298890291747698,4.7220638561768166e-07
PED00016,N_CA,1.4373475079864537,4.64908372411328e-07
PED00016,C_N,1.354632140332902,0.013358299307375263
PED00074,CA_C,1.5299476695710965,3.575900321710652e-07
PED00074,N_CA,1.430143984599547,3.2416820325804257e-07
PED00074,C_N,1.3470636606693267,0.04092133396544833
PED00140,CA_C,1.5296310348836637,6.933643696897759e-07
PED00140,N_CA,1.4353576402801405,7.249488393263246e-07
PED00140,C_N,1.3545230149816776,0.01214259985658111
PED00141,CA_C,1.5296379076572175,7.413099571528904e-07
PED00141,N_CA,1.4350475360653925,7.681265509955652e-07
PED00141,C_N,1.3541387578708783,0.011444599626079835
PED00142,CA_C,1.5297346873242978,5.856832701086779e-07
PED00142,N_CA,1.4379964732739887,6.011167991489032e-07
PED00142,C_N,1.3513269722950765,0.013105762984703428
PED00154,CA_C,1.5296972952597852,5.084942828212262e-07
PED00154,N_CA,1.4387967957967036,5.157292211124701e-07
PED00154,C_N,1.3480317339897157,0.0167191620989615
PED00155,CA_C,1.5293673549348659,3.667111467655809e-07
PED00155,N_CA,1.429118158329617,3.780602979470545e-07
PED00155,C_N,1.3519239013592401,0.028039020649966558
PED00159,CA_C,1.5298660222556855,4.963972815759584e-07
PED00159,N_CA,1.4390484776020052,4.545993351004628e-07
PED00159,C_N,1.3519612827876981,0.014878379210264844
PED00181,CA_C,1.5295727627057296,5.480796511598997e-07
PED00181,N_CA,1.4383842898442194,5.226112388372775e-07
PED00181,C_N,1.3521635061763226,0.017686386566583782
PED00183,CA_C,1.5299470194439313,8.624541633884824e-07
PED00183,N_CA,1.436701704005881,8.4909284257139e-07
PED00183,C_N,1.4809627395981209,0.006755857673780087
PED00184,CA_C,1.5295485723944087,7.310350924502133e-07
PED00184,N_CA,1.4370277994463319,7.286175508936643e-07
PED00184,C_N,1.3554682622074292,0.011007395396787653
PED00229,CA_C,1.5301811619678014,5.213373235012929e-07
PED00229,N_CA,1.4390573358972307,5.145136125484036e-07
PED00229,C_N,1.3508684158699853,0.017109090632912213
PED00231,CA_C,1.5297250663475557,3.9293871110167424e-07
PED00231,N_CA,1.434699100245129,3.9185350434603113e-07
PED00231,C_N,1.3424671744448797,0.03010103052840707
PED00233,CA_C,1.5295273484101664,7.328626711016842e-07
PED00233,N_CA,1.4365428743655866,7.320317476400199e-07
PED00233,C_N,1.3559935536144314,0.011935882237188587
PED00238,CA_C,1.5297250765887174,3.664443709116983e-07
PED00238,N_CA,1.4346991020224313,3.900485888957652e-07
PED00238,C_N,1.342024349082084,0.029127226616800988
PED00442,CA_C,1.5299690955922804,7.264080318586671e-07
PED00442,N_CA,1.4368706463639065,7.2458892288595e-07
PED00442,C_N,1.3540277892121904,0.011590019444965356
PED00468,CA_C,1.5295744598925114,3.7356119517598074e-07
PED00468,N_CA,1.441230019813776,3.5843478337109525e-07
PED00468,C_N,1.3439377788060751,0.02069877962738875
PED00483,CA_C,1.52971366575185,4.168697432764747e-07
PED00483,N_CA,1.4344625772448147,4.162476627676779e-07
PED00483,C_N,1.3524086508178712,0.018053956688717884
PED00484,CA_C,1.5299046519686292,7.375661626541032e-07
PED00484,N_CA,1.4386174184208982,7.333643482098958e-07
PED00484,C_N,1.3523560772622134,0.010941390705477111
PED00493,CA_C,1.5291997826971224,1.0519858944272505e-06
PED00493,N_CA,1.4391635733522585,1.0479779962011968e-06
PED00493,C_N,1.3335756490404684,0.009723465175731985
PED00494,CA_C,1.5291996838352575,1.0645990532567084e-06
PED00494,N_CA,1.4391637484431268,1.043232279921572e-06
PED00494,C_N,1.3338018646079504,0.009799305789263487
PED00495,CA_C,1.5291996905679135,1.0069808551439481e-06
PED00495,N_CA,1.4391636300674127,1.019373061616298e-06
PED00495,C_N,1.3339036161475413,0.009244245851874501
PED00536,CA_C,1.5294904700811358,5.353769196962085e-07
PED00536,N_CA,1.4365890304212985,4.937771386924926e-07
PED00536,C_N,1.3520644193817586,0.016235160816872953
