ped_id,bond_type,gt_mean,gt_std,pred_mean,pred_std
PED00003,CA_C,1.529413106721459,0.035928636289677365,1.5299068742207806,0.0013650882100902219
PED00003,N_CA,1.4595056993220794,0.035327228807344326,1.4385352846679063,0.008431700493662871
PED00003,C_N,1.3405852437353014,0.03319373146802206,1.3762014728996894,0.10773701852487964
PED00006,CA_C,1.5298724268894373,0.03436449850719163,1.5299046375395813,0.0013441586482715307
PED00006,N_CA,1.4606676799322895,0.03392870958138418,1.438617454078092,0.00834549957574608
PED00006,C_N,1.3407529803173082,0.031856621103599825,1.3781691620565357,0.10005867790770044
PED00016,CA_C,1.510355815195743,0.0020706916636765303,1.5298868776434733,0.0012720776630409099
PED00016,N_CA,1.4606914012005299,0.00040487425262952586,1.4372789554353116,0.01031196262648977
PED00016,C_N,1.3195969137930055,0.0004033989948609849,1.3551366486894751,0.0662812164698975
PED00074,CA_C,1.5584905358944945,0.007975079944890598,1.5299476706219042,0.0020910944365932303
PED00074,N_CA,1.4912591170515408,0.008060805289691815,1.4301439760509966,0.012152849604845311
PED00074,C_N,1.3397956062246252,0.0078101961553734,1.3957872119214798,0.11804832581847716
PED00140,CA_C,1.5209384077361654,0.00788219487498841,1.52961939402989,0.0013114690608570646
PED00140,N_CA,1.4456744423934391,0.0074556577541938385,1.4354316890239716,0.00972864913590857
PED00140,C_N,1.3380254789007653,0.00399832419505605,1.3456082260973161,0.08730354198487862
PED00141,CA_C,1.5204372275883042,0.008407261159845003,1.5296264006778106,0.0013258832435505692
PED00141,N_CA,1.4455313735724618,0.007817496974646636,1.4351227068005592,0.009742853575317224
PED00141,C_N,1.3381139948858436,0.004068268364032385,1.346476287001977,0.08132580721240529
PED00154,CA_C,1.5103770701385832,0.00040576144815408056,1.5296973141464028,0.0013313413868521853
PED00154,N_CA,1.4606143722421416,0.0004047324067683888,1.4387968653198837,0.01112333317677865
PED00154,C_N,1.3197954143481712,0.000401070052364866,1.3478732676252927,0.06449508465203381
PED00155,CA_C,1.5220802881320319,0.003969380270643426,1.5293673885229861,0.0009994807490486613
PED00155,N_CA,1.4490729543295773,0.003966825154936531,1.429118214376045,0.00914311447234573
PED00155,C_N,1.3350748991209362,0.0039596973200619,1.3648443900025082,0.06620619221908965
PED00181,CA_C,1.5219376678222265,0.005692167614837979,1.5295727887948354,0.0012761734819663122
PED00181,N_CA,1.4489948189564241,0.005743019604236921,1.4383842625862513,0.008911343761699962
PED00181,C_N,1.3350641537395616,0.005729490550356431,1.3683383318440367,0.04839437139553071
PED00183,CA_C,1.520000117028162,0.009241384550780702,1.5299456086058971,0.0013809283974657728
PED00183,N_CA,1.4449249523720553,0.008163801697441806,1.4367091159463454,0.009876431448280917
PED00183,C_N,1.3370467337112906,0.004787333348239769,1.3509599494201634,0.07333279020101445
PED00184,CA_C,1.510297588162255,0.001761358188971129,1.5295485858932922,0.0012234149663613836
PED00184,N_CA,1.4606951217954618,0.00040480350380312847,1.4370278265836993,0.00857869845104406
PED00184,C_N,1.3195961980893385,0.00040436450620529447,1.3553448801969588,0.062074925437080555
PED00229,CA_C,1.4977920120534765,0.004164923525830621,1.530181067963721,0.00157956744678452
PED00229,N_CA,1.4351482823868873,0.0045005948460002995,1.439057357378409,0.01129914449584106
