system,condition,n_frames,n_residues,rg_mean,rg_std,dmax_mean,dmax_std,ca_rmsd_to_ref_mean,ca_rmsd_to_ref_std,rama_favored_pct_mean,rama_favored_pct_std,rotamer_favored_pct_mean,rotamer_favored_pct_std,cbdev_mean_mean,cbdev_mean_std,clash_count_mean,clash_count_std,helix_frac_mean,helix_frac_std,sheet_frac_mean,sheet_frac_std,pro_phi_mean_mean,pro_phi_mean_std,bond_CA_C_mean,bond_CA_C_std,bond_N_CA_mean,bond_N_CA_std,bond_C_N_mean,bond_C_N_std
Gal3,Folded reference,1,250,29.200820314305478,0.0,99.21942710876465,0.0,1.2284614743665052e-14,0.0,91.93548387096774,0.0,95.76719576719577,0.0,0.10078784124925733,0.0,0.0,0.0,0.036,0.0,0.324,0.0,-74.2794743162213,0.0,1.4963860220909118,0.0,1.4357642970085145,0.0,1.342203708537611,0.0
Gal3,Reference+CODLAD,1,248,29.186198821815886,0.0,99.21942710876465,0.0,5.842457035462112e-15,0.0,88.21138211382114,0.0,80.74866310160428,0.0,0.10462553151796146,0.0,0.0,0.0,0.020161290322580645,0.0,0.3346774193548387,0.0,-81.38279004778181,0.0,1.5298127157072867,0.0,1.4393347540209371,0.0,1.3388213010934682,0.0
Gal3,Restrained CG+CODLAD,10,248,29.71741572907296,5.250607718793252,91.8884825706482,15.39417782325843,28.11663571831973,4.5608522103828575,76.869918699187,1.2631459280673618,75.8288770053476,2.5434665214598184,0.2754189628983682,0.018859003238647108,0.0,0.0,0.0,0.0,0.017741935483870968,0.008956092069332086,-78.94793319554323,5.6495387405330035,1.5298127661308936,7.087089023601213e-07,1.4393346433677983,8.105054562093818e-07,1.8112100169243601,0.011440975256585483
Ubq2,Folded reference,1,162,25.163431573369497,0.0,99.1431713104248,0.0,1.658492148164535e-15,0.0,97.5,0.0,99.3006993006993,0.0,0.09293015322479226,0.0,0.0,0.0,0.22839506172839505,0.0,0.30864197530864196,0.0,-63.50529098510742,0.0,1.4961996210945978,0.0,1.4346018867728152,0.0,1.3454671202239044,0.0
Ubq2,Reference+CODLAD,1,160,24.782814661588496,0.0,92.03860282897949,0.0,1.2082542231673323e-14,0.0,98.10126582278481,0.0,92.25352112676056,0.0,0.0840377080336062,0.0,0.0,0.0,0.21875,0.0,0.33125,0.0,-65.32666206359863,0.0,1.5296205163002015,0.0,1.4363635152578353,0.0,1.3261468035619963,0.0
Ubq2,Restrained CG+CODLAD,10,160,19.984433095394433,1.8166219662234042,68.01762962341309,5.290242389604696,13.056333377690297,3.0281920479546978,88.48101265822785,1.6558157696496691,80.98591549295774,4.4785878000795565,0.2841912075784372,0.04724419070061113,0.0,0.0,0.015625,0.021700694433332977,0.021249999999999998,0.01980810720667452,-53.392429416974394,8.087234965656572,1.5296206514537336,6.977296418320651e-07,1.4363633634150026,9.68953205654189e-07,2.0703957291519113,0.011541369125615077
